SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.230197843,53,0,0.322670932,2500,5,0,2,0,1
0,0.365281736,51,0,219,1159,1,0,0,0,0
0,0.198933435,52,0,0.120432321,13600,5,0,1,0,3
0,0.255489022,22,0,0.002497918,1200,1,0,0,0,0
0,0.0106464,80,0,19,1159,9,0,0,0,0
0,0,46,0,0.152522402,32250,12,0,3,0,2
0,0.275920196,44,0,0.188043142,42000,19,0,4,0,0
0,0.9999999,36,0,0.083277815,1500,0,0,0,0,0
0,0.022529693,41,0,2936,8311,4,0,2,0,3
0,0.9999999,49,1,0.252332297,2250,1,0,0,0,0
0,0.846983133,37,1,0.097513089,4583,8,0,0,0,0
0,0.874251497,47,2,0.026752351,55396,4,1,1,0,1
0,0.050314706,60,1,0.357366139,9916,14,0,1,0,0
0,0.921078921,25,0,0.010461062,2580,1,0,0,0,0
0,0.045524652,56,0,0.588912887,12500,10,0,6,0,0
0,0.906952612,54,0,0.413842906,9000,8,0,1,0,2
0,0.9999999,32,0,4640,2554,8,0,1,0,0
0,0,69,0,0,1500,1,0,0,0,0
0,0.262808838,46,0,0.030982774,8068,6,0,0,0,3
0,0.445693747,48,0,307,1159,5,0,0,0,1
0,0.080427037,57,0,0.020236272,9141,11,0,0,0,0
0,0.154576893,40,0,0.44297771,4620,4,0,1,0,2
0,0.271847359,37,0,4501,8311,19,0,2,0,2
0,0.093240051,62,0,0.162722889,8916,6,0,2,0,0
1,0.120186661,74,1,0.079684764,2283,3,2,0,0,1
0,0.06455638,49,0,0.604047891,3507,19,0,1,0,2
0,0.514196774,35,0,0.032593481,5000,2,0,0,1,0
0,0.022883505,44,0,0.076769248,9000,8,0,1,0,0
1,0,29,1,0.112221717,2200,5,0,0,0,0
0,1.093178037,54,1,256,2554,3,0,1,0,0
0,0.479895812,53,1,2754,2554,8,0,1,0,0
1,0.334235166,42,0,0.367726455,5000,11,0,1,0,0
0,0.996301651,39,2,0.306101912,10930,17,0,0,0,1
0,0.064501603,48,0,0.313195393,10245,9,0,2,0,2
0,0.2221524,31,0,713,1159,9,0,0,0,0
0,0.001611428,58,0,742,2554,5,0,1,0,0
0,0.785369105,31,2,0.409244869,5018,7,0,1,0,4
0,0.000291949,60,0,0.518683579,2916,17,0,1,0,0
0,0,60,0,0.420739591,11600,10,0,4,0,0
0,0.135045802,70,0,1.425628597,3300,11,0,1,0,0
0,0.948810238,46,0,0.443655634,10000,6,0,2,0,2
0,0.616067812,38,0,0.240069686,2869,8,0,0,2,1
0,0.050220972,76,0,0.008878128,3716,4,0,0,0,0
0,0.250273796,62,0,0.405388339,4750,2,0,1,0,1
0,0.056749408,63,0,0.247986331,4096,9,0,1,0,0
0,0.208947427,55,0,0.159210317,6280,3,0,1,0,0
0,0.086012935,56,0,0.445487252,6392,9,0,1,0,0
1,1.007090265,66,6,0.41943662,3549,8,2,0,1,0
0,0.014088028,51,0,0.007997715,3500,6,0,0,0,1
0,0.006924726,32,0,0.088306494,9500,6,0,1,0,0
0,0.019228022,40,0,0.468118582,12075,6,0,2,0,2
0,0.052175752,78,0,0.054111033,5691,11,0,1,0,0
0,0.033511799,85,0,0.229636202,5634,11,0,1,0,0
0,0.002879885,30,0,0.234848485,18083,12,0,5,0,0
0,0.659567363,40,0,0.642590775,5094,14,0,2,0,2
0,0.006515709,71,0,0.085396427,6381,2,0,0,0,1
0,1.139813582,39,2,0.480141964,5916,8,2,2,2,3
0,0.031592763,79,0,429,1,4,0,1,0,0
0,0.053834571,69,0,0.011903619,10416,11,0,0,0,0
0,0.053264109,39,0,0.330907266,7968,8,0,1,0,3
0,0.490709649,40,0,0.409530157,3000,4,0,1,0,3
0,0.02249775,49,0,0.25332081,7452,5,0,2,0,1
0,0,91,0,5208,2554,4,0,1,0,0
0,0.453175728,51,0,0.74185163,5000,16,0,3,0,0
0,0.508032604,53,0,0.279972003,10000,14,0,2,0,0
0,0,63,0,0.339605998,3400,8,0,2,0,0
0,0.007203135,66,0,419,1159,10,0,0,0,0
0,0.031034246,56,0,0.199175052,16000,9,0,2,0,2
0,0.629397343,40,0,0.467869523,11250,12,0,1,0,2
0,0.037326489,39,0,0.255419002,29617,12,0,3,0,2
0,0.00039996,55,0,0.197973604,7500,8,0,1,0,2
0,0.9999999,45,0,9260,0,7,0,4,0,4
0,0.190831896,52,0,0.310817425,14300,17,0,1,0,1
0,0.788701555,39,0,0.188765182,1975,10,1,0,0,0
0,0.262355545,42,0,0.027420737,3500,6,0,0,0,0
0,0.478023726,43,0,0.162941961,5995,3,1,1,0,2
0,0.9999999,39,0,0.001850995,2160,1,0,0,0,1
1,1.027638894,54,4,1.055991041,6250,17,1,2,0,0
0,0.50896598,46,0,0.398671096,3611,6,0,1,0,2
1,0.559053454,75,0,2.314423657,1656,17,0,2,1,0
0,0.9999999,29,0,0.065894115,4400,1,0,0,0,4
0,0,60,0,0.443849313,5600,9,0,1,0,0
0,0.032138504,50,0,0.360565785,8200,7,0,2,0,2
0,0.142444176,60,0,0.21344512,13000,10,0,3,0,1
0,0.6209485,51,0,0.571685663,5000,14,0,2,0,0
0,0.866345575,44,0,2801,1159,10,0,0,0,0
0,0.957932071,40,0,0.755130751,12083,15,0,5,0,0
0,0.012095516,58,0,0.521770748,11000,11,0,2,0,0
0,0.01820662,54,0,0.119704571,7175,6,0,1,0,0
0,0,30,0,0.275177026,5083,15,0,0,0,0
0,0.350951352,36,0,0.258046302,5312,12,0,0,0,0
0,0.875416389,33,0,0.693665301,3172,4,0,1,0,2
0,0.235072362,62,0,0.597419929,4495,7,0,2,0,0
0,0.343796874,42,0,2020,2554,9,0,1,0,1
0,0.133385309,30,0,0.366782007,2311,4,0,0,0,0
0,0.018398773,56,0,6814,8311,8,0,2,0,0
0,0.769567255,31,1,0.292387543,1733,6,0,0,1,1
0,0.377672261,63,1,857,2554,5,0,1,0,1
0,0.386939695,65,0,0.358786398,9821,13,0,1,0,1
0,0.384586763,55,0,0.246641075,2083,3,0,0,0,3
0,0.9999999,35,0,0,5894,0,0,0,0,3
0,0.336482891,30,0,0.175869121,4400,4,0,0,0,0
0,0.040294421,48,0,0.265576393,11250,5,0,1,0,0
0,0.258608177,33,0,2626,2554,8,0,1,0,0
1,0.057911027,33,0,93,1159,4,0,0,0,0
0,0.006603678,45,0,0.258353065,3800,10,0,1,0,2
0,0.687237804,49,2,0.551604236,6326,25,0,1,0,0
0,0.000407221,74,0,1,2430,5,0,0,0,0
0,0.335445712,40,0,0.344679838,4200,6,0,2,1,0
0,0.001346024,66,0,0,2150,2,0,0,0,1
0,0.9999999,61,0,0.291179596,940,2,0,0,0,0
0,0.9999999,57,0,0.002352326,3825,1,0,0,0,0
0,0.680340449,33,0,0.383404149,4000,6,0,0,0,3
0,0.055796272,64,0,3880,8311,18,0,2,0,0
1,0.270057665,74,1,0.524914005,10174,10,0,2,0,0
0,0.071741219,51,0,0.511835876,1900,11,0,1,0,0
0,0,46,0,0.054350161,4654,4,0,0,0,1
0,0.105657887,50,0,0.293395022,6267,4,0,2,0,0
0,0.127073412,42,0,0.440395512,9000,5,0,2,0,3
0,0.313015935,54,3,0.278201615,13500,17,0,1,0,0
0,0.079563583,52,0,0.428183701,14000,12,0,2,0,2
0,0.08022587,73,0,0.149929279,4241,6,0,0,0,0
0,0.873870871,78,1,0.196450887,4000,2,0,0,0,0
1,2.020881671,53,6,0.110772596,12800,4,1,0,1,0
1,0.496255115,64,0,251,1159,6,0,0,0,0
0,0.096652022,59,0,2986,2554,8,0,1,0,0
0,0.096112098,51,1,0.421094732,8750,12,0,1,0,0
0,0.151777921,58,0,0.492140801,9033,25,0,2,0,1
0,0.9999999,34,0,0.60068673,4950,4,0,1,0,0
0,0.039098045,64,1,0.047147572,2120,6,0,0,0,0
0,0.929255895,40,2,0.558411215,2567,9,0,1,0,4
0,0.019955992,61,0,0.273546389,7102,6,0,1,0,0
0,0.9999999,44,0,0.512361915,1900,3,0,1,0,1
0,0.9999999,33,0,0.190904548,2000,2,0,0,0,2
0,0.154955579,62,1,2446,2554,4,1,1,0,0
0,0.9768474,65,0,0.333129273,9800,8,0,2,0,0
0,0.017246807,84,0,0.014819805,5937,20,0,0,0,0
0,0.010865942,64,0,0.351459416,2500,5,0,1,0,0
0,0.202779246,70,0,0.476210504,19020,18,0,2,0,0
0,0.599253433,54,0,0.285645122,4130,6,0,3,0,2
0,0.180104655,34,0,0.076153974,6000,4,0,0,0,0
0,0.066687178,42,0,0.318460192,8000,4,0,1,0,2
0,0.910920809,56,3,0.124980374,12737,13,1,0,0,1
0,0.108736644,40,0,0.34166572,8800,8,0,2,0,2
0,0.903123346,47,0,0.342544069,8395,8,0,2,0,0
0,0.01702853,68,0,0.00329373,8500,8,0,0,0,1
0,0.189209442,63,0,0.444828213,5500,14,0,1,0,0
0,0.043218438,68,0,0.580691991,8265,7,0,2,0,0
0,0.948526802,41,0,0.618485237,3894,10,0,1,0,1
0,0.104059729,71,0,0.324566738,6577,11,0,5,0,0
0,0.955579771,51,0,0.530306186,4800,7,0,2,0,3
0,0.072656388,28,0,0.270560191,7550,7,0,1,0,2
0,0.017999581,71,0,0.005498625,4000,10,0,0,0,0
0,0.352155756,30,0,0.784367636,2545,4,0,1,0,3
0,0.334568555,58,1,0.655367232,6194,16,0,2,0,0
0,0,51,0,30,1159,3,0,0,0,0
0,0.649665004,56,2,0.338394971,12248,12,0,2,0,1
0,0.615712569,43,0,0.065057992,7500,10,1,0,0,0
0,0.066207509,41,0,0.077813309,6566,10,0,0,0,3
0,0.045546918,75,0,0.013662113,3000,3,0,0,0,0
0,0.248923507,56,0,0.284782397,10270,15,0,2,0,0
1,0.936288089,34,3,1.099345628,1680,9,0,1,0,4
0,0.9999999,50,0,0.263974721,50000,14,0,5,0,4
0,0.005349911,59,0,0.208146873,8714,7,0,1,0,4
1,0.9999999,34,1,0.267933017,4000,1,5,0,0,0
1,0.9999999,32,0,0.012254112,3100,1,0,0,0,0
0,0.883599294,36,0,0.478250837,17333,12,0,2,0,0
0,0.067540927,38,0,0.257717785,8000,4,0,1,0,2
0,0.119244038,61,0,3475,2554,5,0,1,0,0
0,0.449547017,66,0,0.91928934,3939,6,0,2,0,0
1,1.013289037,38,0,0.002367798,3800,1,0,0,0,0
0,0,44,0,0.236966148,7000,5,0,1,0,2
0,0.590771529,51,1,2.796734422,3000,22,0,4,0,4
0,0.368342403,70,0,0.189680635,10833,18,0,0,0,0
0,0.07714102,80,0,0.160088257,8157,10,0,1,0,0
0,0.111813248,44,0,0.193352509,6257,9,0,0,0,2
1,0.574322369,32,0,0.460269865,2000,8,0,0,0,1
0,0,47,0,0.593101725,4000,17,0,2,0,1
0,0.037669883,71,0,0.104289571,10000,12,0,1,0,0
1,0,41,0,925,8311,3,2,2,0,0
0,0.051112825,65,0,76,1159,6,0,0,0,0
0,0.944801236,34,1,1221,1159,8,0,0,0,0
0,0.006809416,74,0,1863,2554,7,0,1,0,0
0,0.163354809,40,0,0.75651553,2800,19,0,1,0,1
0,0.520590996,50,0,0.435629921,10159,7,0,3,0,5
0,0.168034242,63,0,3770,2554,13,0,1,0,0
0,0.489012775,62,0,2439,1159,6,0,0,0,0
0,0.149905756,55,0,0.408000371,21548,14,0,5,0,2
0,0.486304414,73,0,0.558356761,11026,7,0,2,0,0
0,0.094707521,31,0,0.24870052,2500,12,0,0,0,0
0,0,68,0,0.057356608,400,5,0,0,0,0
0,0.030815542,54,0,0.080965517,7249,16,0,1,0,2
0,0.20806914,56,0,0.172187468,9750,14,0,2,0,0
0,0.731895289,43,0,0.809199319,4695,11,0,2,0,2
0,0.021216722,45,0,0.292518862,11000,13,0,1,0,0
0,0.1337797,38,0,0.363370628,9920,9,0,2,0,4
0,0.170665445,38,1,0.155162469,5200,10,0,0,0,0
0,0.913343837,34,0,0.37020993,3000,5,0,0,0,0
0,0.04394304,51,0,0.346307651,3750,9,0,1,0,0
0,0.052909294,42,0,0.811396201,3000,7,0,2,0,1
0,0.007480168,73,0,0.004382361,3650,12,0,0,0,0
0,0.154470979,68,0,0.198512244,55250,14,0,5,0,0
0,0.096149953,38,0,0.140514598,7500,4,0,0,0,1
1,0.9999999,66,1,0.187221397,3364,1,3,0,0,3
0,0.252349948,62,0,0.115994845,22500,12,0,1,0,1
0,0.025522594,36,0,1650,2554,4,0,1,0,1
0,0.30084661,56,0,0.299048599,11666,5,0,2,0,0
0,0.767440928,49,1,1.209263259,8333,16,0,3,0,2
0,0.608371836,33,0,0.131317623,6746,11,0,0,0,1
0,0.092844874,34,2,0.648957441,3500,12,0,2,0,2
0,0.425471819,53,0,0.324989167,30000,11,0,2,0,0
0,0.029433503,69,1,4037,8311,7,0,2,0,0
1,1.219390305,58,2,0.28101945,8945,7,2,1,0,0
0,0.179413254,59,0,0.273821267,10137,10,0,1,0,0
0,0.066327435,36,0,0.273671044,7994,5,0,1,0,2
0,0.475454545,40,3,2648,2554,5,1,1,0,2
0,0.438891355,54,0,0.598320084,6666,12,0,2,0,0
0,0.244190598,56,0,0.627524015,5100,4,0,2,0,1
0,0.122938531,72,1,0.241630056,6600,6,0,0,1,0
0,0.248072997,47,0,0.201273596,4396,8,0,0,0,1
0,0.193935587,42,0,0.256306898,22078,10,0,2,0,2
0,0.044645173,46,0,0.204909919,5050,12,0,2,0,2
0,0.016231853,54,0,3788,2554,7,0,1,0,2
0,0.052147498,50,1,0.491637631,2869,6,0,1,0,1
0,0.024876835,74,0,0.003749063,4000,2,0,0,0,0
0,0.815789474,56,0,42,1159,2,1,0,0,0
0,0,63,0,0.029291056,48000,9,0,1,0,1
0,0.088324973,52,0,0.356040647,5313,10,0,1,0,2
0,0.029657244,70,0,1961,2554,14,0,1,0,0
0,0.9999999,50,0,0.176126035,4950,3,0,1,0,0
0,0.016016969,59,0,0.322994029,6866,10,0,3,0,1
0,0.448398759,44,0,0.34816319,5416,8,0,2,0,1
0,0.156562292,50,0,2.175536881,1070,4,0,1,0,1
0,0.393887461,35,1,748,2554,3,0,1,0,0
0,1.047583781,52,1,0.418994413,3400,11,0,1,1,0
0,0.722134512,25,0,0.344753747,1400,3,1,0,1,0
0,0.418009291,60,0,0.266346731,5000,13,0,1,0,0
0,0.368678061,34,0,0.458308338,5000,8,0,2,0,0
0,0.070390851,49,0,0.2729814,9300,13,0,2,0,3
0,0.088536546,80,1,0.262975779,2600,17,0,1,0,0
0,0.092313986,70,0,0.14295082,9149,9,0,1,0,0
0,0.017076898,72,0,16.5,1,7,0,1,0,0
0,0.224555089,44,0,0.172716066,7300,3,0,1,0,3
0,0,50,0,0.329334133,3333,7,0,2,0,1
1,0,82,5,2146,2554,5,1,1,1,0
0,0.005063163,52,0,0.295592505,3788,6,0,1,0,1
0,0.557846744,47,0,0.317812232,19800,13,0,1,0,5
0,0.670534986,49,0,0.367733333,3749,13,0,1,0,3
0,0.030437708,66,0,0.207976891,9000,12,0,1,0,0
0,0,86,0,0,5356,6,0,0,0,0
0,0.192085096,61,0,0.362802768,5779,12,0,1,0,0
0,0.145850198,30,0,0.408894577,6250,9,0,2,0,0
0,1.012931609,61,0,0.056992876,8000,2,1,0,0,1
0,0.722863857,47,0,0.401447343,5250,2,0,1,0,0
0,0.412811866,75,0,0.833594158,3833,10,0,2,0,1
0,0.001884543,63,0,3069,2554,8,0,1,0,0
0,0.034438284,62,0,1138,8311,13,0,2,0,1
0,0.023548922,70,0,0.076468908,10500,13,0,1,0,0
0,0.24135173,62,0,0.224943764,4000,7,0,1,0,0
0,0.566972993,46,0,12060,8311,18,0,4,0,0
0,0.035202478,55,0,0.203277703,6650,7,0,1,0,0
0,0,77,0,0.124500182,5501,5,0,1,0,1
0,0.178612419,42,0,0.977755561,4000,8,0,2,0,4
0,0.263048379,67,0,0.954204829,1200,3,0,1,0,1
0,0.1844727,56,0,0.376834382,1907,11,0,0,0,4
0,0.010553042,77,0,0.191386736,5804,10,0,2,0,0
0,0.030266716,65,0,0.11237025,10500,13,0,1,1,1
0,0.044789163,41,0,1837,2554,4,0,1,0,0
0,0.836560893,47,0,0.480676793,5200,13,0,0,0,4
0,0.9999999,36,0,0.006228487,6100,0,1,0,0,2
0,0.18157579,35,0,0.747626187,2000,4,0,1,0,2
0,0.027972948,35,0,0.232953038,3768,4,0,0,0,0
1,0.710644678,38,1,1651,2554,12,6,1,0,0
0,0.042162894,58,1,0.372719481,8166,23,0,2,0,0
0,0.308657732,44,0,0.490218809,6900,6,0,2,0,4
0,0.010482788,50,0,0.22111127,7000,19,0,2,0,2
0,0.063953092,69,0,2991,2554,11,0,1,0,0
0,0.149070988,64,0,0.502824859,1592,12,0,0,0,0
0,0.473450425,73,0,0.13248221,14333,10,0,0,0,0
0,0.976242109,40,0,0.636030122,5178,9,0,1,0,3
0,0.031214838,58,0,0.355076276,1900,6,0,1,0,0
0,0.815198618,83,0,0.178109453,3014,3,0,0,0,0
0,0.787410629,46,1,0.508108108,2959,6,0,0,0,0
0,0.135187229,59,0,0.642991435,4786,13,0,1,0,1
0,0.692487501,40,0,0.454487282,6250,9,0,2,0,1
0,0.32740131,56,0,0.493223728,4500,18,0,2,0,2
0,0.400974344,48,2,0.529996572,5833,12,0,1,0,3
0,0,62,0,1738,2554,6,0,1,0,0
0,0.013473296,64,0,0.241073627,4060,12,0,1,0,0
0,0.472767272,30,0,0.285429448,6519,10,0,0,0,1
0,0.058193216,46,0,0.206684759,7000,8,0,1,0,0
0,0.9999999,37,0,0.077200807,9416,3,0,0,0,0
0,0.363342031,58,0,1.020408163,2400,10,0,1,0,0
0,0.029917177,47,1,0.261343805,6875,9,0,1,0,0
0,0.057479353,40,0,0.238486092,4385,11,0,1,0,0
0,0.014422769,39,1,260,2554,7,0,1,0,2
0,0.07043172,84,0,0.019192323,2500,1,0,0,0,0
0,0.021513305,64,0,0.247501,2500,16,0,0,0,2
1,0.145817572,45,0,0.325558147,3000,9,0,1,0,0
0,0.310886391,59,0,0.375789284,5542,9,0,1,0,0
0,1.496493864,48,0,0.466785159,4500,18,0,1,0,0
0,0.339826407,38,0,891,1159,8,0,0,0,1
1,0.314595927,63,1,0.338830585,3334,11,0,1,0,1
0,0.183597682,45,0,0.041121182,5957,5,0,0,0,4
0,0.01366287,53,0,0.00189981,10000,10,0,0,0,0
0,0.292004355,46,0,0.275431142,4000,8,0,0,0,3
0,0.087387113,60,0,0.302656384,5834,12,0,1,0,0
0,0.991103,48,0,0.213407638,6100,7,0,0,0,2
0,0.793600144,52,1,6623,8311,10,0,2,0,0
0,0.9999999,46,0,0.20726519,9166,3,0,2,0,0
0,0.027094593,64,0,0.002956265,11500,3,0,0,0,0
0,0.936377087,51,2,0.630582668,3380,7,0,1,1,0
0,0.043679613,39,0,0.117211598,3241,5,0,0,0,2
0,0.074979825,59,0,130,1159,6,0,0,0,0
0,0.374597608,57,0,0.283233858,11057,13,0,2,0,1
0,0.119162216,48,0,0.567958656,3869,8,0,2,0,0
0,0.9999999,35,0,1.069588866,6250,7,0,4,0,2
0,0.04559886,60,0,0.017292974,37760,3,0,1,0,0
0,0.009797732,54,0,0.002291189,4800,5,0,0,0,0
0,0.368069325,46,0,0.345425617,6284,8,0,1,0,2
0,0.065221486,47,0,273,2554,7,0,1,0,0
0,0.9999999,28,0,0.264779351,1200,5,0,0,0,0
0,0.118577841,66,0,2977,8311,17,0,2,0,0
0,0.928433718,52,0,0.635571899,5166,13,0,2,0,2
0,0.538063435,45,0,0.344220265,17941,20,0,2,0,3
0,0.312479399,71,0,1.059274059,3002,14,0,1,0,0
1,0.048878042,35,2,0.097580484,5000,6,0,0,0,0
0,0.002587606,76,0,1307,2554,8,0,1,0,0
0,0.181531176,75,0,20,1159,5,0,0,0,0
0,0.938209905,34,0,0.401414949,3250,7,1,1,0,0
0,0.51958007,42,0,0.160787992,5329,4,3,0,1,2
0,0.00738831,46,0,0.773611564,9200,13,0,4,0,2
0,0.153785259,81,0,3385,2554,12,0,1,0,0
0,0.9999999,54,0,0.140868731,12500,11,0,1,0,2
0,0.403854034,59,0,1.172442131,7300,19,0,4,0,0
1,0.99570043,41,0,0.258908547,4012,4,0,1,0,0
0,0.181984835,63,0,622,2554,4,0,1,0,0
0,0.099197902,42,0,0.072985403,5000,17,0,0,0,2
0,0.252043489,46,0,0.201583873,4166,3,0,0,0,0
0,0.787851012,36,0,0.102871683,2750,3,0,0,0,0
0,0,62,0,3221,2554,9,0,1,0,0
0,0.177555726,26,0,0.074405787,2902,3,0,0,0,0
0,0.029100034,57,0,0.005748563,4000,6,0,0,0,0
0,0.043973376,63,0,0.240048397,8264,12,0,1,0,0
0,0.038989327,65,0,5614,8311,8,0,3,0,0
0,0.001249962,65,0,1,2430,5,0,0,0,1
0,0.265760748,56,0,0.24980784,1300,3,0,0,0,0
0,0.098316947,53,0,1650,8311,3,0,2,0,0
1,0.9999999,51,0,0.16166839,2900,8,0,0,0,2
0,0.087479742,46,0,2259,2554,3,0,1,0,0
0,0.086391361,47,0,0.243832142,8673,11,0,1,0,0
0,0.366908746,36,0,0.147263176,5900,5,0,0,0,3
0,0.043475917,72,0,894,2554,6,0,1,0,0
0,0.011678285,45,0,0.227419176,9000,22,0,1,0,2
0,0.390855343,57,0,0.629898403,6200,22,0,1,1,1
0,0.676580855,28,0,0.208263912,3000,5,0,0,0,0
1,1.007984032,34,0,0.109396914,3564,2,0,0,0,1
0,0.005882215,72,0,0.263580638,4730,9,0,1,0,0
0,0.009112756,56,0,0.079455663,6833,19,0,0,0,0
0,0.213138222,53,0,525,2554,12,0,1,1,0
0,0.077066308,58,0,0.36025151,8110,8,0,1,0,0
0,0.012666244,85,0,164,0,8,0,0,0,0
0,0.149426158,71,0,506,2554,5,0,1,0,0
0,0.37066894,51,0,0.23794964,5559,11,0,1,0,2
0,0.9999999,57,0,0.209025302,11500,6,0,2,0,2
0,0.566230473,35,0,0.42690815,3091,5,0,0,0,1
0,0.229481343,63,0,0.352511007,13400,15,0,2,0,2
0,0.146370726,82,0,21,1159,2,0,0,0,0
0,0.000166049,66,0,3055,2554,8,0,1,0,1
0,0.075655331,51,0,0.22703716,9068,10,0,1,0,3
0,0.002408981,60,0,0.317967862,6160,8,0,2,0,0
0,0,29,0,0.474470735,4817,7,0,2,0,2
1,0.344823292,36,0,0.500499833,3000,17,0,1,0,0
0,0.715218985,37,0,0.792932424,3225,8,0,1,0,2
0,0.09198291,33,0,0.842857143,2449,11,0,2,0,0
1,0.9999999,49,0,26,1159,2,1,0,1,0
0,0.140634485,45,0,0.384046487,3785,7,0,2,0,2
0,0.014794082,65,0,3.69E-05,27083,1,0,0,0,2
0,0.870967742,50,0,0.296361399,11377,12,0,1,0,0
0,0.156305221,66,0,0.327031449,5500,11,0,1,0,2
0,0.209879961,42,0,1.06932409,7500,27,0,7,0,2
0,0.016373131,68,0,41,1159,11,0,0,1,0
0,0.035415191,39,0,0.16312592,26500,9,0,3,0,0
0,0.061926219,70,0,0.206582876,14400,4,0,1,0,2
0,0.499936133,54,1,2474,2554,5,0,1,0,0
0,0,64,0,472,2554,11,0,1,0,0
1,0.914440794,46,2,0.315091678,3544,2,2,1,1,4
0,0,53,0,0.424368294,8666,7,0,2,0,0
0,0.073593929,44,1,0.171636364,4124,7,0,0,0,1
0,0.262276656,59,0,0.339124392,8633,9,1,1,0,2
0,0.138067355,50,0,0.18479364,11823,14,0,0,0,0
1,1.413173653,22,1,0.174377224,280,3,1,0,1,0
0,0.9999999,44,0,1793,8311,5,0,2,0,4
0,0.608391608,26,0,0.006426276,2800,1,0,0,0,0
0,0.196120798,27,0,0.285714286,2400,7,0,0,0,0
0,0.057045865,26,0,0.00749875,6000,5,0,0,0,0
0,0.866551668,63,0,9641,8311,11,0,2,0,0
0,0.694364058,34,1,0.731553689,3333,7,0,1,0,0
0,0.9999999,48,0,0.375406148,4000,6,0,2,0,2
0,0.637991408,35,0,0.488055244,5357,12,0,1,0,2
0,0.01995445,70,0,0.044355572,5500,9,0,0,0,3
0,0.607857131,49,0,0.394034378,9889,11,0,1,0,1
0,0.034569513,82,0,0.094516813,3300,14,0,1,0,0
